_id,Date,Rain,Temp Max,Temp Min
334,30-11-1951,0,23.21999931,9.779999733
335,01-12-1951,0,22.61000061,9.68999958
336,02-12-1951,0,23.47999954,9.699999809
337,03-12-1951,0,24.42000008,9.119999886
338,04-12-1951,0,24.29999924,8.880000114
339,05-12-1951,0,24.37000084,8.930000305
340,06-12-1951,0,25.09000015,9.369999886
341,07-12-1951,0,25.02000046,9.340000153
342,08-12-1951,0,24.45000076,8.770000458
343,09-12-1951,0,24.19000053,8.170000076
344,10-12-1951,0,23.90999985,7.309999943
345,11-12-1951,0,23.96999931,8.489999771
346,12-12-1951,0,24.48999977,8.109999657
347,13-12-1951,0,24.78000069,7.309999943
348,14-12-1951,0,24.29000092,7.050000191
349,15-12-1951,0,24.04999924,7.269999981
350,16-12-1951,0,23.17000008,5.690000057
351,17-12-1951,0,22.73999977,6.150000095
352,18-12-1951,0,22.54000092,5.949999809
353,19-12-1951,0,23.09000015,6.400000095
354,20-12-1951,0,23.20000076,6.699999809
355,21-12-1951,0,22.23999977,6.190000057
356,22-12-1951,0,22.60000038,6.5
357,23-12-1951,0,23.35000038,7.409999847
358,24-12-1951,0,23.45000076,7.449999809
359,25-12-1951,0,24.30999947,7.380000114
360,26-12-1951,0,21.22999954,6.710000038
361,27-12-1951,0,21.47999954,6.809999943
362,28-12-1951,0,21.09000015,6.71999979
363,29-12-1951,0,20.95000076,6.78000021
364,30-12-1951,0,20.89999962,6.559999943
365,31-12-1951,0,20.55999947,6.610000134
366,01-01-1952,0,20.55999947,6.369999886
367,02-01-1952,0,20.56999969,6.019999981
368,03-01-1952,0,20.29000092,6.110000134
369,04-01-1952,0,20.60000038,6.199999809
370,05-01-1952,0,20.48999977,6.269999981
371,06-01-1952,0,20.51000023,6.519999981
372,07-01-1952,1.200274825,20.90999985,6.610000134
373,08-01-1952,3.446915627,20.67000008,10.27000046
374,09-01-1952,0,18.62000084,7.630000114
375,10-01-1952,0,20.47999954,7.090000153
376,11-01-1952,0,20.06999969,6.130000114
377,12-01-1952,0,19.70000076,5.650000095
378,13-01-1952,0,22.02000046,7.670000076
379,14-01-1952,0,22.31999969,8.300000191
380,15-01-1952,0,23.20999908,7.429999828
381,16-01-1952,0,24.02000046,8.029999733
382,17-01-1952,0,22.06999969,6.420000076
383,18-01-1952,0,21.03000069,6.739999771
384,19-01-1952,0,23.48999977,7.320000172
385,20-01-1952,0,23.79000092,8.31000042
386,21-01-1952,0,24.89999962,8.720000267
387,22-01-1952,0,25.82999992,9.199999809
388,23-01-1952,0,26.73999977,9.329999924
389,24-01-1952,0,27.37999916,9.93999958
390,25-01-1952,0,27.12000084,8.789999962
391,26-01-1952,0,25.98999977,7.690000057
392,27-01-1952,0,26.25,8.840000153
393,28-01-1952,0,26.06999969,9.420000076
394,29-01-1952,0,24.51000023,10.60999966
395,30-01-1952,0,25.68000031,9.899999619
396,31-01-1952,0,26.06999969,10.53999996
397,01-02-1952,0,26.76000023,10.39000034
